zone;annee;male;femelle;totale;bio_exp;primipare;multipare
8;1990;7576.756674;13010.496777;20358.355974;20003.63215;10567.656481;2442.8402968
8;1991;5999.0893597;9219.4579302;15336.419337;14906.236147;4786.5966232;4432.861307
8;1992;2988.6338425;6547.3494563;9490.4267207;9234.583324;5347.6710249;1199.6784314
8;1993;3697.2002295;3464.6331912;9115.8252076;6589.5845964;2150.8028785;1313.8303127
8;1994;5677.8843022;6333.8878495;11987.636706;11368.586502;5356.0929591;977.79489039
8;1995;10819.725629;10589.890155;21198.36776;19503.153979;8947.3120232;1642.5781322
8;1996;10652.377586;9652.23714;20524.814954;18025.981306;6821.4837094;2830.7534306
8;1997;24167.069712;22428.346542;46764.036111;39675.528133;15940.457739;6487.8888028
8;1998;11858.239457;15536.871135;27491.879349;26316.86832;13273.562342;2263.3087924
8;1999;14721.229587;14805.910342;33549.59127;24567.054432;9650.5774496;5155.3328922
8;2000;14203.814402;17355.282863;31272.464994;29542.733179;12617.161887;4738.1209754
8;2001;14631.383546;14635.143545;29755.187301;23155.695172;;
8;2002;6378.4408726;7027.4055247;13395.025136;12412.932107;;
8;2003;28239.776089;32296.771805;60250.458523;52835.064085;;
8;2004;14058.524218;24825.198336;38718.675977;35921.777684;;
8;2005;19289.94486;27600.834804;46872.243083;45791.713671;;
8;2006;23084.794433;27400.903696;50305.407852;42401.176011;;
8;2007;16743.419175;14968.083969;31708.363301;25858.552491;;
8;2008;15935.827578;13783.710479;29685.100372;25210.594561;;
8;2009;17693.926036;17361.131107;35139.539535;31350.187283;12075.633974;5285.4971333
8;2010;14480.544669;18366.886367;32947.425366;31152.936007;7342.8207722;11024.065594
8;2011;20205.908317;26903.919598;47210.878605;42062.123351;19369.7484;7534.1711976
8;2012;14646.668567;16422.140957;31079.394888;26154.625511;12254.685603;4167.4553545
8;2013;14074.958447;21347.043887;35398.636138;33803.950979;17794.849458;3552.1944298
8;2014;15591.107153;15525.125507;31002.233847;28971.570014;12737.443275;2787.6822324
8;2015;9659.35356;12790.255856;22056.363031;20114.214032;8694.9999869;4095.2558694
8;2016;12861.011127;12362.745594;25431.573381;23743.830018;8527.1915686;3835.5540254
8;2017;8004.4930849;11311.983352;18996.29606;18587.237351;6594.7993392;4717.1840127
8;2018;4124.8296865;13170.121225;17478.000839;16176.723457;6120.6762558;7049.444969
8;2019;9744.0636162;13440.31898;23251.255743;21418.924281;7765.8065015;5674.5124782
8;2020;3313.1407863;8104.5875699;11470.464473;10623.98769;5003.9087509;3100.678819
8;2021;5515.0106583;9038.5198652;14404.149825;13859.396738;4774.7795413;4263.7403239
8;2022;2733.6529548;8995.0060981;11619.165925;11267.442235;4168.8511479;4826.1549502
8;2023;3426.1098738;8731.6578573;11995.967902;11092.709415;3637.0751977;5094.5826596
9;1990;18459.363369;18130.669034;36219.21272;33885.809713;12398.917971;5731.751063
9;1991;9051.4086741;12720.82601;21920.570863;21099.240201;7219.2606575;5501.5653523
9;1992;11782.060395;12123.981448;23703.253788;21778.609835;7951.4459779;4172.5354705
9;1993;9060.4174245;5962.4490095;14946.316526;12089.559908;5041.1810839;921.2679256
9;1994;6152.2742009;5597.3169952;11737.942797;10858.809686;4476.8389583;1120.478037
9;1995;14070.737986;14916.37641;29704.545854;25227.177875;13220.972799;1695.4036112
9;1996;24263.390821;33301.91489;57798.838596;54668.748833;28010.655828;5291.2590621
9;1997;16723.463766;19184.501246;35614.565473;30560.590918;17546.728573;1637.7726729
9;1998;9835.896484;18469.183047;27721.969309;28018.116012;15846.377031;2622.8060159
9;1999;13048.987024;18305.991585;31432.817802;27778.66038;14051.74837;4254.2432148
9;2000;14706.458653;28424.44425;43172.684318;41030.695755;23555.019036;4869.425214
9;2001;12443.325668;17106.912673;30051.378232;26624.255417;;
9;2002;24928.99025;29066.764869;53460.839467;47943.895424;;
9;2003;37909.08476;39531.368142;76817.862435;67669.55576;;
9;2004;23919.399381;33334.746802;57620.959943;51597.542039;;
9;2005;26292.089672;43886.190724;70071.025452;69213.065494;;
9;2006;15849.852069;26046.900111;42542.996618;39495.494445;;
9;2007;24627.200408;48734.842641;72908.086874;67940.544529;;
9;2008;12283.265019;16642.581237;28805.773924;25869.759124;;
9;2009;24831.716345;20602.421022;46249.515239;36374.077153;12750.054618;7852.3664037
9;2010;19821.076949;18764.943069;38395.930223;34624.458999;9255.1640605;9509.7790089
9;2011;6423.0922911;15488.17763;21797.889432;20653.403796;10456.382517;5031.7951128
9;2012;10478.426596;18588.965341;28489.895909;26948.244934;13590.9847;4997.9806416
9;2013;8779.2829715;19679.960658;28869.989962;27231.162865;15726.280093;3953.6805654
9;2014;15457.055784;18452.62032;33537.984432;29158.259816;15514.1866;2938.4337202
9;2015;14296.845786;20720.887216;34482.496545;31149.329912;19255.482435;1465.4047811
9;2016;7632.9634167;13245.9091;20735.970012;18831.346613;9947.3775517;3298.5315486
9;2017;10833.196911;15609.114737;26617.449624;23124.970854;11372.028952;4237.0857854
9;2018;7333.9182835;11668.506124;19169.749766;15952.276345;6943.5347769;4724.9713469
9;2019;8867.713502;10050.351252;18903.723323;16119.775383;5299.7164969;4750.6347554
9;2020;9036.7523656;13031.119324;20945.571747;19104.930672;7770.1932337;5260.9260901
9;2021;5845.7610847;9125.8313136;15381.791659;13907.383171;6202.2598066;2923.5715071
9;2022;3258.5757193;5714.765048;8924.0146658;8393.7546559;2364.4133562;3350.3516918
9;2023;2533.7457696;3418.4571689;5950.3521179;4517.8624862;2071.0155433;1347.4416256
10;1990;11836.89576;20046.190971;31875.714734;31400.659961;10040.630327;10005.560644
10;1991;17429.828887;24308.524924;43085.071599;39092.595812;8193.9293035;16114.59562
10;1992;7040.9949247;11410.330109;18720.702287;15777.055081;6366.4853402;5043.8447688
10;1993;10587.064443;14161.267753;25058.982712;21883.669532;11952.269267;2208.9984854
10;1994;12718.600385;20557.134699;33280.408152;30363.084059;16884.524709;3672.6099896
10;1995;16842.41125;25391.961506;42234.238065;40859.178363;22247.192967;3144.7685392
10;1996;20263.891173;36151.484596;56384.291384;54299.959028;26648.166;9503.3185954
10;1997;27611.0545;36245.876712;63677.631517;60234.890628;29290.621091;6955.2556208
10;1998;19097.063909;53886.124986;72954.377862;71786.026193;43589.406516;10296.71847
10;1999;26468.753447;39999.400321;66432.434208;60041.333449;34079.626035;5919.7742865
10;2000;33962.625364;63102.967338;97237.432585;96091.406598;52857.401438;10245.5659
10;2001;40831.022914;40473.094662;80373.000846;74482.199778;;
10;2002;31847.881587;56262.112427;87111.720706;86750.484043;;
10;2003;94838.324587;100060.41191;194797.63845;189776.08217;;
10;2004;45274.495323;77528.27973;122602.77128;119822.4121;;
10;2005;31673.848516;67992.398676;99603.964198;97002.457356;;
10;2006;20855.876173;61517.865748;82834.484468;81196.529442;;
10;2007;32442.691954;78406.036781;111330.10476;107946.44939;;
10;2008;29404.651282;68541.383128;98036.171958;93953.724641;;
10;2009;33454.917603;43970.777311;77601.367169;71173.476875;20211.849076;23758.928235
10;2010;26320.714554;53321.783075;79335.080519;74596.861612;33198.410098;20123.372978
10;2011;18339.579404;34879.885765;53437.425689;51020.604771;19358.548932;15521.336833
10;2012;38444.259106;33485.691381;72121.902702;69524.857507;24586.961034;8898.7303471
10;2013;22079.379905;34681.561964;57731.720644;55446.813453;27095.077435;7586.4845286
10;2014;30207.629116;54355.702822;84446.232483;81598.339634;51007.463035;3348.2397866
10;2015;26372.963883;42616.858004;69186.759375;66852.419176;38259.947987;4356.9100171
10;2016;16168.218728;27751.146141;44592.795996;41845.925687;17362.800592;10388.345549
10;2017;8277.850493;13737.087835;21690.646947;20669.278344;9953.4227083;3783.6651266
10;2018;5257.342338;9696.5728107;14971.686841;13464.869913;3610.7854785;6085.7873323
10;2019;9909.2402317;11025.008256;20942.463462;20383.59716;5619.13182;5405.8764357
10;2020;12348.943162;15656.960029;27458.62303;26445.384571;7262.7479168;8394.2121127
10;2021;5442.1999862;6512.748327;11967.035894;11384.180815;3918.4840021;2594.2643248
10;2022;1106.5254543;3112.8204459;4143.4294044;4036.5744768;1475.3535025;1637.4669435
10;2023;1182.6413643;4728.7747952;5941.020632;5778.385808;1938.0683587;2790.7064365
