annee;deb12;deb10;deb9;deb8
1982;152.001;3836.48;2401.522;2111.002
1983;158;3710.694;2861.304;2242
1984;248.001;4442.915;1276.084;1577.998
1985;164.002;4418.25;2766.741;1421
1986;262;4241.764;3314.23;1592.002
1987;523.001;5429.78;3403.222;2685.001
1988;550.999;6047.007;2844;4334.999
1989;628.997;6281.375;4225.62;4613.999
1990;506.999;6838.994;4723.004;3303
1991;504.998;6446.754;4554.23;4773.001
1992;488.998;4972.695;4146.303;3148.999
1993;496.001;5653.672;4622.331;4682.997
1994;502;7195.731;3823.271;4688.998
1995;485.999;9176.822;2171.18;4800.001
1996;504.998;11306.171;1176.824;5122.999
1997;548.999;10551.042;3243.958;5957.007
1998;633.998;10003.352;5909.636;6554.003
1999;645.999;12487.175;3773.835;6732.002
2000;739;13903.975;4197.03;7395.996
2001;832;12709.268;3654.728;7814.998
2002;799;16108.365;4022.641;8249.998
2003;795.998;16645.268;3453.728;6772.993
2004;1033.002;20789.842;5571.156;8593
2005;1001;17664.19;3175.808;8867.001
2006;1029;19013.483;5052.516;8957.007
2007;1022.001;16463.942;9361.063;9207.996
2008;1016.999;16325.191;9281.816;9110.004
2009;992.757;16073.737;9443.467;9473.122
2010;906.001;15768.38;10086.624;9541.004
2011;880.001;14645.798;9561.204;9176.997
2012;955.615;12596.015;8187.405;10243.59
2013;1117.166;14227.245;7671.505;9149.093
2014;983.739;12440.283;8714.116;8407.573
2015;1075.144;12425.4;9160.913;8220.496
2016;1026.642;12140.506;8679.809;7081.12
2017;898.843;6945.565;6928.405;7023.979
2018;214.306;4189.06;6285.114;5971.401
2019;199.124;4012.134;6847.82;5981.361
2020;570;5100.523;6182.462;5992.002
2021;579.319;4982.062;6233.343;5534.622
2022;496.4;3909.189;3784.107;4276.403
2023;423.802;1373.797;2035.499;1671.502
